#x  Curve1
-5.4758  10.0546
-5.44236  9.8072
-5.39755  9.5806
-5.31888  9.2926
-5.26283  9.0249
-5.20688  8.7158
-5.16206  8.4892
-5.09468  8.2217
-4.98244  7.7482
-4.90377  7.4602
-4.82501  7.2135
-4.78043  6.8836
-4.70153  6.6988
-4.60044  6.3078
-4.53282  6.1436
-4.45425  5.8142
-4.37558  5.5262
-4.31934  5.3411
-4.24049  5.1357
-4.16182  4.8477
-4.07187  4.5392
-3.97039  4.3135
-3.83526  3.9437
-3.74507  3.7385
-3.63241  3.4509
-3.48579  3.1433
-3.37299  2.9178
-3.24904  2.6098
-3.11358  2.3846
-3.02344  2.1587
-2.87664  1.9337
-2.7297  1.7707
-2.60552  1.566
-2.45853  1.4237
-2.28911  1.1784
-2.15351  1.0152
-1.93867  0.8119
-1.70112  0.6296
-1.37292  0.4488
-0.98811  0.2481
-0.7049  0.2112
-0.37633  0.1956
-0.09331  0.076
