#x,Curve1
-2.16869,10.0331
-2.1467,9.7885
-2.12356,9.6355
-2.10138,9.4061
-2.08775,9.1616
-2.07296,9.0087
-2.05951,8.749
-2.02063,8.5194
-2.01439,8.3514
-2.00814,8.1833
-1.98596,7.954
-1.95543,7.7245
-1.93421,7.4188
-1.89495,7.2198
-1.88909,7.0212
-1.88189,6.9295
-1.86825,6.685
-1.82899,6.4859
-1.80738,6.2108
-1.7757,6.0729
-1.75372,5.8283
-1.71484,5.5987
-1.68584,5.2471
-1.68374,5.415
-1.64014,4.8953
-1.61892,4.5896
-1.59712,4.3297
-1.54116,4.1304
-1.51879,3.9163
-1.47099,3.7324
-1.44027,3.5182
-1.40216,3.2275
-1.35532,2.9673
-1.29177,2.7067
-1.25404,2.3856
-1.17361,2.1401
-1.11823,1.8949
-1.0376,1.6647
-0.99133,1.3586
-0.91868,1.1591
-0.86176,1.0361
-0.79765,0.8213
-0.74092,0.6831
-0.64303,0.4984
-0.57891,0.2836
-0.48803,0.2059
-0.39772,0.0824
